Sentiment,p-value
POS_or,1.0568668336319309e-11
POS_par,2.1510040696616857e-22
NEG_or,2.1752982491417848e-20
NEG_par,4.358801459960343e-13
NEU_or,3.42840777989295e-08
NEU_par,4.226007564722689e-12
