Emotion,p-value
others,0.07014031082648914
joy,4.680752856982626e-07
sadness,0.1803164341828315
anger,0.2763425096615101
surprise,1.3050043646665557e-09
disgust,0.14259195177696035
fear,9.775096929914141e-07
