Emotion,p-value
others_or,1.2707508029646602e-15
others_par,4.05878833621416e-15
joy_or,2.749208653687814e-24
joy_par,2.700396256610903e-27
sadness_or,1.6145266524005255e-22
sadness_par,9.840637966608525e-26
anger_or,1.089358669988699e-26
anger_par,2.3728396152366024e-25
surprise_or,2.0996911946563104e-20
surprise_par,1.7507728072707276e-23
disgust_or,2.5338621221192166e-22
disgust_par,6.736409668770364e-22
fear_or,3.502478324232743e-26
fear_par,6.135454269969745e-21
