others,joy,sadness,anger,surprise,disgust,fear,Tag
0.009335007518529892,0.00234423135407269,0.11202535778284073,0.0018912380328401923,0.0023065232671797276,0.0036239775363355875,0.8684736490249634,Parodies
0.9642501473426819,0.004362512845546007,0.0017021112143993378,0.0028718526009470224,0.0016210416797548532,0.02054472640156746,0.004647672176361084,Parodies
0.3519914448261261,0.007844848558306694,0.002848226111382246,0.0058065918274223804,0.005145289935171604,0.009938091970980167,0.6164255142211914,Parodies
0.9721871018409729,0.006695971824228764,0.0013599339872598648,0.0010472193825989962,0.003281592857092619,0.009686845354735851,0.005741242319345474,Parodies
0.862238347530365,0.00513839814811945,0.009495111182332039,0.003353040898218751,0.002179591218009591,0.05824967846274376,0.059345800429582596,Parodies
0.003923038952052593,0.0015621440252289176,0.0019077747128903866,0.0016644397983327508,0.0020951437763869762,0.0013342772144824266,0.9875131249427795,Parodies
0.9681428074836731,0.0066742911003530025,0.0025134950410574675,0.0013771903468295932,0.0017465334385633469,0.0068440125323832035,0.012701612897217274,Parodies
0.6886000037193298,0.0047273822128772736,0.003485673340037465,0.005313707049936056,0.002520923037081957,0.28349220752716064,0.011860092170536518,Parodies
0.867794394493103,0.0047364309430122375,0.0031437103170901537,0.003472710493952036,0.0022442606277763844,0.11420273035764694,0.004405884072184563,Parodies
0.35442054271698,0.011841687373816967,0.005726852919906378,0.003080614609643817,0.0046249027363955975,0.005223643966019154,0.6150817275047302,Parodies
0.9768649339675903,0.006948830559849739,0.0042430926114320755,0.001072252169251442,0.0016679037362337112,0.005865391343832016,0.003337431699037552,Parodies
0.9747676849365234,0.007092738524079323,0.00099044234957546,0.0029531200416386127,0.00264655495993793,0.005821525119245052,0.005727748852223158,Parodies
0.5840408205986023,0.004713118076324463,0.007717952597886324,0.005183570086956024,0.002433173591271043,0.37804991006851196,0.01786145009100437,Parodies
0.9478776454925537,0.004879953805357218,0.006097231991589069,0.0022995565086603165,0.0016680378466844559,0.03345458582043648,0.003722995985299349,Parodies
0.8008182644844055,0.008339892141520977,0.007685464806854725,0.005800560116767883,0.0018045796314254403,0.17286130785942078,0.0026898826472461224,Parodies
0.9590597748756409,0.007233351934701204,0.01670243591070175,0.001553744892589748,0.0021992248948663473,0.0074713448993861675,0.005780087783932686,Parodies
0.7453048229217529,0.007496331352740526,0.05703457444906235,0.002534691011533141,0.003819182049483061,0.024678897112607956,0.15913139283657074,Parodies
0.3516561985015869,0.008377112448215485,0.610297679901123,0.0034636985510587692,0.005770477931946516,0.010519815608859062,0.009914997033774853,Parodies
0.975300133228302,0.0076193432323634624,0.0023443279787898064,0.0009740330860950053,0.0017140203854069114,0.005341008771210909,0.0067072282545268536,Parodies
0.9679346084594727,0.004455563146620989,0.0017112178029492497,0.001700104563497007,0.0021941938903182745,0.017080627381801605,0.004923743195831776,Parodies
